publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Untersuchungen zur Technologie und zum Prozeßablauf beim Unterpulver-Verbindungsschweißen mit Draht- und Bandelektroden in Tandemanordnung	978-3-531-03023-4	978-3-322-87668-3							https://link.springer.com/10.1007/978-3-322-87668-3	Eichhorn	10.1007/978-3-322-87668-3		fulltext		VS Verlag für Sozialwissenschaften	monograph	1981	1981	3023	1		12398		P
Reibungsverhalten elastomerer Lagerwerkstoffe	978-3-531-03032-6	978-3-322-87671-3							https://link.springer.com/10.1007/978-3-322-87671-3	Schrage	10.1007/978-3-322-87671-3		fulltext		VS Verlag für Sozialwissenschaften	monograph	1981	1981	3032	1		12398		P
Zur analogen Großsignalaussteuerung von Feldeffekttransistoren unter Berücksichtigung des Subthreshold-Gebietes	978-3-531-03013-5	978-3-322-87670-6							https://link.springer.com/10.1007/978-3-322-87670-6	Gad	10.1007/978-3-322-87670-6		fulltext		VS Verlag für Sozialwissenschaften	monograph	1981	1981	3013	1		12398		P
Zur Berechnung der Stabilität der Gestellbewegungen ebener Mechanismen	978-3-531-03035-7	978-3-322-87674-4							https://link.springer.com/10.1007/978-3-322-87674-4	Dittrich	10.1007/978-3-322-87674-4		fulltext		VS Verlag für Sozialwissenschaften	monograph	1981	1981	3035	1		12398		P
Minderung der Schadstoffemissionen beim Gegendrucksintern von Eisenerzen	978-3-531-03020-3	978-3-322-87672-0							https://link.springer.com/10.1007/978-3-322-87672-0	Block	10.1007/978-3-322-87672-0		fulltext		VS Verlag für Sozialwissenschaften	monograph	1981	1981	3020	1		12398		P
Theoretische Untersuchungen zur Weiterentwicklung der Kennfeldberechnung vielstufiger Axialverdichter	978-3-531-03031-9	978-3-322-87673-7							https://link.springer.com/10.1007/978-3-322-87673-7	Grahl	10.1007/978-3-322-87673-7		fulltext		VS Verlag für Sozialwissenschaften	monograph	1981	1981	3031	1		12398		P
Untersuchungen zum Wärmetransport in flüssigkeitsdurchströmten Schüttungen	978-3-531-03037-1	978-3-322-87676-8							https://link.springer.com/10.1007/978-3-322-87676-8	Schröder	10.1007/978-3-322-87676-8		fulltext		VS Verlag für Sozialwissenschaften	monograph	1981	1981	3037	1		12398		P
Regelungen mit schaltenden Reglern bei stochastischen Störungen	978-3-531-03034-0	978-3-322-87675-1							https://link.springer.com/10.1007/978-3-322-87675-1	Schäfer	10.1007/978-3-322-87675-1		fulltext		VS Verlag für Sozialwissenschaften	monograph	1981	1981	3034	1		12398		P
Untersuchung und Verbesserung des Schwingungsverhaltens von Krankentragen	978-3-531-03043-2	978-3-322-87677-5							https://link.springer.com/10.1007/978-3-322-87677-5	Helling	10.1007/978-3-322-87677-5		fulltext		VS Verlag für Sozialwissenschaften	monograph	1981	1981	3043	1		12398		P
Entwurf und Aufbau eines CAD-Prüfplatzes für komplexe Digitalschaltungen	978-3-531-03052-4	978-3-322-87678-2							https://link.springer.com/10.1007/978-3-322-87678-2	Tafel	10.1007/978-3-322-87678-2		fulltext		VS Verlag für Sozialwissenschaften	monograph	1981	1981	3052	1		12398		P
